time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-19T03:23:06.975Z,35.4995,-3.5835,10.0,4.7,mb,,59,2.8,0.98,us,us7000eebi,2022-08-09T05:38:12.729Z,"42 km NE of Al Hoceïma, Morocco",earthquake,6.7,1.9,0.051,118,reviewed,us,us
2021-05-23T06:42:16.044Z,35.5354,-3.7349,10.0,4.5,mb,,95,2.207,0.82,us,us6000effz,2021-07-31T22:08:48.040Z,"36 km NNE of Al Hoceïma, Morocco",earthquake,7.0,1.9,0.171,10,reviewed,us,us
2021-05-23T06:18:40.351Z,35.4548,-3.6342,10.0,4.3,mb,,115,2.743,0.47,us,us6000efg5,2021-07-31T22:08:47.040Z,"35 km NE of Al Hoceïma, Morocco",earthquake,5.2,1.8,0.308,3,reviewed,us,us
2021-05-21T11:10:55.397Z,35.4151,-3.6628,10.0,4.4,mb,,82,2.314,0.54,us,us6000ef2q,2021-07-31T22:07:57.040Z,"30 km NE of Al Hoceïma, Morocco",earthquake,5.1,1.9,0.22,6,reviewed,us,us
2021-05-14T06:54:59.538Z,35.3374,-3.7105,10.0,4.3,mb,,61,2.612,0.91,us,us7000e4pb,2021-07-24T21:06:48.040Z,"22 km ENE of Al Hoceïma, Morocco",earthquake,4.1,2.0,0.2,7,reviewed,us,us
2021-05-11T16:52:02.638Z,35.4606,-3.5802,5.25,4.6,mb,,116,2.749,0.3,us,us7000e457,2021-07-23T18:08:47.040Z,"39 km NE of Al Hoceïma, Morocco",earthquake,7.2,4.8,0.245,5,reviewed,us,us
2021-05-01T22:10:06.405Z,35.4452,-3.6289,10.0,4.3,mb,,61,2.325,0.68,us,us7000dzcm,2021-07-10T20:14:54.040Z,"35 km NE of Al Hoceïma, Morocco",earthquake,6.3,1.9,0.09,35,reviewed,us,us
2021-03-18T09:51:35.203Z,38.8363,-9.102,10.0,3.3,ml,,167,1.18,0.36,us,us7000dkri,2024-09-18T23:36:50.812Z,"0 km SSW of Santa Iria da Azóia, Portugal",earthquake,4.4,2.0,0.115,10,reviewed,us,us
2021-01-28T18:49:49.557Z,37.2017,-3.7417,10.0,4.3,mwr,,44,2.108,1.04,us,us6000dcq4,2021-04-13T17:04:53.040Z,"2 km NW of Santafé, Spain",earthquake,5.0,1.9,0.086,13,reviewed,us,us
2021-01-26T21:54:55.284Z,37.2371,-3.7155,10.0,4.3,mwr,,59,2.14,0.9,us,us7000d3it,2022-02-12T08:01:19.841Z,"2 km WNW of Atarfe, Spain",earthquake,5.8,1.8,0.068,21,reviewed,us,us
2021-01-26T21:44:18.010Z,37.2023,-3.6857,10.0,4.1,mwr,,69,2.151,0.94,us,us6000dcie,2021-04-13T17:04:53.040Z,"2 km S of Atarfe, Spain",earthquake,5.9,1.9,0.075,17,reviewed,us,us
2021-01-26T21:36:32.869Z,37.1899,-3.7525,10.0,4.0,mwr,,54,2.096,0.65,us,us6000dcif,2021-04-13T17:04:53.040Z,"2 km ESE of Chauchina, Spain",earthquake,5.6,1.9,0.08,15,reviewed,us,us
2021-01-23T11:15:24.615Z,37.1767,-3.7454,10.0,4.2,mwr,,54,2.097,0.41,us,us7000d2nq,2022-11-30T11:48:22.629Z,"2 km WSW of Santafé, Spain",earthquake,5.3,1.9,0.093,11,reviewed,us,us
2020-12-08T16:35:41.871Z,35.143,-9.2935,10.0,4.5,mb,,157,2.021,0.72,us,us7000cqb9,2021-02-12T22:41:29.040Z,"209 km S of Sagres, Portugal",earthquake,8.3,1.9,0.131,17,reviewed,us,us
2020-12-02T23:09:09.318Z,37.2424,-3.7963,10.0,3.4,ml,,110,2.082,0.59,us,us7000cmba,2021-02-12T22:38:25.040Z,Spain,earthquake,5.4,2.0,0.091,16,reviewed,us,us
2020-11-03T04:25:07.605Z,38.6254,-0.4834,5.25,3.3,ml,,121,1.114,0.78,us,us7000c9lp,2021-01-18T23:02:06.040Z,"7 km E of Ibi, Spain",earthquake,6.1,9.6,0.148,6,reviewed,us,us
2020-11-02T03:07:18.351Z,38.0792,-0.7009,5.75,2.4,ml,,178,0.546,0.37,us,us7000c94y,2021-01-18T23:01:59.040Z,"2 km ESE of Rojales, Spain",earthquake,6.0,10.6,0.181,4,reviewed,us,us
2020-11-01T19:55:38.023Z,38.0277,-0.6667,6.73,2.6,ml,,108,0.513,0.77,us,us7000c92k,2021-01-18T23:01:58.040Z,"5 km NNE of Torrevieja, Spain",earthquake,5.5,9.2,0.181,4,reviewed,us,us
2020-10-16T00:58:51.868Z,36.6421,-5.3583,23.88,3.9,mwr,,79,0.704,0.45,us,us6000c8mr,2020-12-29T23:07:25.040Z,"3 km NNW of Cortes de la Frontera, Spain",earthquake,5.3,5.9,0.083,14,reviewed,us,us
2020-09-06T11:56:23.041Z,35.5541,-5.3362,10.0,4.3,mb,,82,1.15,1.21,us,us7000bl6b,2020-11-17T19:44:45.040Z,"3 km SE of Tétouan, Morocco",earthquake,6.2,1.9,0.153,12,reviewed,us,us
2020-07-25T12:13:00.471Z,35.4251,-3.8678,10.0,4.8,mb,,101,2.162,0.4,us,us6000b3z5,2020-10-03T17:32:22.040Z,"20 km NNE of Al Hoceïma, Morocco",earthquake,7.1,1.9,0.042,175,reviewed,us,us
2020-06-27T03:51:14.538Z,38.0336,-0.8626,10.0,2.9,ml,,165,0.459,0.57,us,us7000adve,2020-09-05T17:35:31.040Z,"3 km S of Jacarilla, Spain",earthquake,3.8,2.0,0.181,4,reviewed,us,us
2020-04-18T15:48:17.583Z,38.066,-0.7863,6.22,2.4,ml,,136,0.507,0.48,us,us70008zql,2020-07-09T14:31:26.040Z,"2 km SSE of Algorfa, Spain",earthquake,5.3,10.3,0.148,6,reviewed,us,us
2020-03-04T09:05:57.461Z,35.9452,-0.7541,10.0,2.4,ml,,209,1.65,0.27,us,us6000899x,2020-05-23T22:03:18.040Z,"22 km N of ’Aïn el Turk, Algeria",earthquake,6.3,2.0,0.181,4,reviewed,us,us
2020-03-04T06:42:42.643Z,35.9603,-0.8135,10.0,2.3,ml,,233,1.63,0.67,us,us6000899s,2020-05-23T22:03:18.040Z,"24 km N of ’Aïn el Turk, Algeria",earthquake,8.3,2.0,0.181,4,reviewed,us,us
